Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Clinton,Trump,Other,Undecided,Pollster URL,Source URL,Partisan,Affiliation,Question Iteration
Morning Consult,7/8/16,7/10/16,2016-07-11T16:42:29Z,2001,Registered Voters,Internet,42,41,,18,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24853,https://morningconsult.com/2016/07/11/voters-largely-unmoved-potential-vp-picks-poll-shows/,Nonpartisan,None,1
NBC/SurveyMonkey,7/4/16,7/10/16,2016-07-12T14:29:32Z,7869,Registered Voters,Internet,47,44,,10,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24859,https://www.scribd.com/document/318010091/NBC-News-SurveyMonkey-Toplines-and-Methodology-7-4-7-10,Nonpartisan,None,1
Raba Research,7/7/16,7/9/16,2016-07-12T19:00:02Z,781,Likely Voters,Internet,41,29,11,18,http://elections.huffingtonpost.com/pollster/polls/raba-research-24866,http://www.rabaresearch.com/documents/RABA-National-Survey-July-2016.pdf,Nonpartisan,None,1
McClatchy/Marist,7/5/16,7/9/16,2016-07-13T14:21:38Z,1053,Registered Voters,Live Phone,42,39,1,17,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-24872,http://maristpoll.marist.edu/wp-content/misc/usapolls/us160705_MCC/McClatchy-Marist%20Poll_National%20Nature%20of%20the%20Sample%20and%20Tables_Election%202016_July%2013%202016.pdf,Nonpartisan,None,1
Ipsos/Reuters,7/2/16,7/6/16,2016-07-07T14:25:34Z,1345,Registered Voters,Internet,44,33,12,11,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24829,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical7062016.pdf,Nonpartisan,None,1
Rasmussen,7/5/16,7/5/16,2016-07-08T15:00:09Z,1000,Likely Voters,Automated Phone,38,40,17,4,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24836,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/libertarian_johnson_doesn_t_change_presidential_outcome_so_far,Nonpartisan,None,1
Rasmussen,7/5/16,7/5/16,2016-07-07T14:46:17Z,1000,Likely Voters,Automated Phone,40,42,13,5,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24830,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,Nonpartisan,None,1
YouGov/Economist,7/2/16,7/4/16,2016-07-06T14:29:45Z,1004,Registered Voters,Internet,42,37,11,11,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24823,https://today.yougov.com/news/2016/07/06/clinton-maintains-her-lead-particularly-negative-r/,Nonpartisan,None,1
Morning Consult,6/30/16,7/4/16,2016-07-05T19:55:24Z,2001,Registered Voters,Internet,41,40,,19,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24822,https://morningconsult.com/2016/07/05/clinton-trump-nearly-tied-new-survey/,Nonpartisan,None,1
NBC/SurveyMonkey,6/27/16,7/3/16,2016-07-05T14:28:50Z,10072,Registered Voters,Internet,48,43,,9,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24814,https://www.scribd.com/document/317453619/NBC-News-SurveyMonkey-Toplines-and-Methodology-6-27-7-3,Nonpartisan,None,1
Rasmussen,6/28/16,6/29/16,2016-06-30T14:32:48Z,1000,Likely Voters,Automated Phone,39,43,12,5,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24800,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,Nonpartisan,None,1
Suffolk/USA Today,6/26/16,6/29/16,2016-07-05T13:58:23Z,1000,Likely Voters,Live Phone,46,40,,14,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-24813,http://www.suffolk.edu/academics/10741.php,Nonpartisan,None,1
Ipsos/Reuters,6/25/16,6/29/16,2016-06-30T14:40:40Z,1247,Registered Voters,Internet,42,32,14,12,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24802,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical.pdf,Nonpartisan,None,1
IBD/TIPP,6/24/16,6/29/16,2016-06-30T17:35:32Z,837,Registered Voters,Live Phone,44,40,9,7,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24805,http://www.investors.com/politics/trump-holds-ground-against-clinton-ties-her-in-a-four-way-matchup/,Nonpartisan,None,1
Gravis Marketing/OANN,6/27/16,6/28/16,2016-07-05T14:37:24Z,2162,Registered Voters,Automated Phone,50,46,4,,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-oann-24815,http://big.assets.huffingtonpost.com/GravisOANN062816.pdf,Nonpartisan,None,1
FOX,6/26/16,6/28/16,2016-06-30T14:52:33Z,1017,Registered Voters,Live Phone,44,38,7,10,http://elections.huffingtonpost.com/pollster/polls/fox-24803,http://www.foxnews.com/politics/2016/06/29/fox-news-poll-clinton-up-by-6-points-89-percent-say-hot-headed-describes-trump.html,Nonpartisan,None,1
YouGov/Economist,6/24/16,6/27/16,2016-06-29T14:15:26Z,1069,Registered Voters,Internet,40,35,15,11,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24795, https://today.yougov.com/news/2016/06/29/yougoveconomist-poll-june-24-27-2016/,Nonpartisan,None,1
Morning Consult,6/24/16,6/27/16,2016-06-27T16:04:16Z,4001,Registered Voters,Internet,44,39,,18,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24776,https://morningconsult.com/2016/06/27/clinton-gains-polls-voters-still-favor-trump-grow-economy/,Nonpartisan,None,1
Quinnipiac,6/21/16,6/27/16,2016-06-29T14:00:13Z,1610,Registered Voters,Live Phone,42,40,6,12,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24794,https://www.qu.edu/images/polling/us/us06292016_Utwkv93x.pdf,Nonpartisan,None,1
NBC/SurveyMonkey,6/20/16,6/26/16,2016-06-28T14:16:30Z,5818,Registered Voters,Internet,49,41,,10,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24791,https://www.scribd.com/doc/316876703/NBC-News-SurveyMonkey-Toplines-and-Methodology-6-20-6-26,Nonpartisan,None,1
Pew,6/15/16,6/26/16,2016-07-07T18:27:13Z,1655,Registered Voters,Live Phone,45,36,15,3,http://elections.huffingtonpost.com/pollster/polls/pew-24834,http://i2.cdn.turner.com/cnn/2016/images/07/07/07-07-16.voter.attitudes.release.embargoed.pdf,Nonpartisan,None,1
ABC/Post,6/20/16,6/23/16,2016-06-26T13:09:05Z,836,Registered Voters,Live Phone,51,39,2,8,http://elections.huffingtonpost.com/pollster/polls/abc-post-24764,http://apps.washingtonpost.com/g/page/national/washington-post-abc-news-poll-june-20-23-2016/2053/,Nonpartisan,None,1
NBC/WSJ,6/19/16,6/23/16,2016-06-26T13:16:43Z,1000,Registered Voters,Live Phone,46,41,2,11,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-24765,https://www.scribd.com/doc/316881192/Nbcwsj-June-Poll,Nonpartisan,None,1
Ipsos/Reuters,6/18/16,6/22/16,2016-06-23T14:35:33Z,1339,Registered Voters,Internet,44,34,13,10,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24752,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical6222016.pdf,Nonpartisan,None,1
Rasmussen,6/20/16,6/21/16,2016-06-23T16:18:51Z,1000,Likely Voters,Automated Phone,44,39,11,6,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24754,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,Nonpartisan,None,1
YouGov/Economist,6/18/16,6/20/16,2016-06-22T15:37:22Z,1011,Registered Voters,Internet,43,39,11,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24739,https://today.yougov.com/news/2016/06/21/national-clinton-leads-trump-four/,Nonpartisan,None,1
ARG,6/17/16,6/20/16,2016-06-21T15:05:57Z,987,Registered Voters,Live Phone,50,41,3,6,http://elections.huffingtonpost.com/pollster/polls/arg-24728,http://americanresearchgroup.com/pres2016/na16-2.html,Nonpartisan,None,1
Morning Consult,6/15/16,6/20/16,2016-06-20T20:29:18Z,3891,Registered Voters,Internet,42,40,,17,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24717,https://morningconsult.com/2016/06/20/poll-orlando-huge-spike-voters-concerns-security/,Nonpartisan,None,1
CNN,6/16/16,6/19/16,2016-06-21T11:23:41Z,891,Registered Voters,Live Phone,47,42,4,7,http://elections.huffingtonpost.com/pollster/polls/cnn-24723,http://i2.cdn.turner.com/cnn/2016/images/06/21/rel7b.-.2016.general.pdf,Nonpartisan,None,1
Monmouth University,6/15/16,6/19/16,2016-06-20T17:03:04Z,803,Registered Voters,Live Phone,47,40,5,8,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-24712,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/568faad2-81ab-4bd0-b373-8577326e76bd.pdf,Nonpartisan,None,1
NBC/SurveyMonkey,6/13/16,6/19/16,2016-06-21T14:02:55Z,16135,Registered Voters,Internet,48,42,,10,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24724,http://www.nbcnews.com/politics/2016-election/poll-clinton-trump-get-party-support-independents-split-n595911,Nonpartisan,None,1
Gravis Marketing/OANN,6/16/16,6/16/16,2016-06-17T18:51:41Z,2197,Registered Voters,Automated Phone,50,45,5,,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-oann-24702,http://big.assets.huffingtonpost.com/NationalJune.pdf,Nonpartisan,None,1
Rasmussen,6/14/16,6/15/16,2016-06-16T15:14:43Z,1000,Likely Voters,Automated Phone,44,39,14,4,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24690,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,Nonpartisan,None,1
Ipsos/Reuters,6/11/16,6/15/16,2016-06-16T15:24:10Z,1323,Registered Voters,Internet,41,32,15,11,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24692,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical615.pdf,Nonpartisan,None,1
CNBC,6/11/16,6/13/16,2016-06-20T20:49:48Z,801,Registered Voters,Live Phone,40,35,2,23,http://elections.huffingtonpost.com/pollster/polls/cnbc-24718,http://big.assets.huffingtonpost.com/FI11825b.pdf,Nonpartisan,None,1
Bloomberg/Selzer,6/10/16,6/13/16,2016-06-14T21:15:54Z,750,Likely Voters,Live Phone,49,37,9,5,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-24677,http://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rc0NltTBR0ug/v0,Nonpartisan,None,1
CBS,6/9/16,6/13/16,2016-06-16T00:46:09Z,1048,Registered Voters,Live Phone,43,37,5,15,http://elections.huffingtonpost.com/pollster/polls/cbs-24687,https://www.scribd.com/doc/315840399/Toplines-CBS-News-poll-Clinton-Trump,Nonpartisan,None,1
NBC/SurveyMonkey,6/6/16,6/12/16,2016-06-14T14:40:03Z,9355,Registered Voters,Internet,49,42,,9,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24667,http://www.nbcnews.com/politics/2016-election/poll-clinton-expands-lead-after-becoming-presumptive-nominee-n591531,Nonpartisan,None,1
Morning Consult,6/8/16,6/9/16,2016-06-14T17:52:02Z,1362,Registered Voters,Internet,42,37,,21,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24673,https://morningconsult.com/2016/06/14/poll-less-half-voters-view-clintons-nomination-historic/,Nonpartisan,None,1
FOX,6/5/16,6/8/16,2016-06-09T22:08:00Z,1004,Registered Voters,Live Phone,42,39,7,12,http://elections.huffingtonpost.com/pollster/polls/fox-24646,http://www.foxnews.com/politics/2016/06/09/fox-news-poll-trump-drops-now-trails-clinton.html,Nonpartisan,None,1
Ipsos/Reuters,6/4/16,6/8/16,2016-06-09T15:29:06Z,1440,Registered Voters,Internet,42,34,12,11,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24644,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical6082016.pdf,Nonpartisan,None,1
Rasmussen,6/6/16,6/7/16,2016-06-09T14:40:49Z,1000,Likely Voters,Automated Phone,42,38,15,5,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24642,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,Nonpartisan,None,1
YouGov/Economist,6/2/16,6/5/16,2016-06-07T16:29:14Z,1636,Registered Voters,Internet,44,41,6,9,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24633,https://today.yougov.com/news/2016/06/06/sanders-supporters-expect-win-california-not-phila/,Nonpartisan,None,1
Morning Consult,6/1/16,6/5/16,2016-06-07T14:20:46Z,4002,Registered Voters,Internet,44,40,,16,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24629,https://morningconsult.com/2016/06/07/poll-ryan-endorsement-doesnt-help-trump-independents/,Nonpartisan,None,1
IBD/TIPP,5/31/16,6/5/16,2016-06-06T20:02:49Z,828,Registered Voters,Live Phone,45,40,9,7,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24625,http://www.investors.com/wp-content/uploads/2016/06/ibdtipp-Tables_June2016_Posting-1.pdf,Nonpartisan,None,1
NBC/SurveyMonkey,5/30/16,6/5/16,2016-06-07T15:18:58Z,9240,Registered Voters,Internet,48,44,,9,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24631,http://www.nbcnews.com/politics/2016-election/poll-majority-democratic-republican-voters-think-primary-process-fair-n586771,Nonpartisan,None,1
Rasmussen,5/31/16,6/1/16,2016-06-02T15:41:38Z,1000,Likely Voters,Automated Phone,39,38,18,5,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24597,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,Nonpartisan,None,1
Ipsos/Reuters,5/28/16,6/1/16,2016-06-02T15:20:28Z,1332,Registered Voters,Internet,43,34,13,10,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24596,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical60116.pdf,Nonpartisan,None,1
Morning Consult,5/24/16,5/30/16,2016-06-01T15:20:58Z,4002,Registered Voters,Internet,42,39,,18,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24589,https://morningconsult.com/2016/06/01/poll-democrats-want-sanders-stay-race/,Nonpartisan,None,1
Quinnipiac,5/24/16,5/30/16,2016-06-01T12:56:33Z,1561,Registered Voters,Live Phone,45,41,3,11,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24586,https://www.qu.edu/images/polling/us/us06012016_Ugb28vf.pdf,Nonpartisan,None,1
NBC/SurveyMonkey,5/23/16,5/29/16,2016-05-31T16:17:39Z,12969,Registered Voters,Internet,47,45,,8,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24575,https://www.scribd.com/doc/314370658/NBC-News-SurveyMonkey-Toplines-and-Methodology-5-23-5-29?secret_password=gy6ehxYOZykr35Fg4ces,Nonpartisan,None,1
Ipsos/Reuters,5/21/16,5/25/16,2016-05-26T14:36:36Z,1271,Registered Voters,Internet,41,36,13,10,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24559,http://big.assets.huffingtonpost.com/2016ReutersTracking5252016.pdf,Nonpartisan,None,1
Rasmussen,5/23/16,5/24/16,2016-05-26T14:58:17Z,1000,Likely Voters,Automated Phone,40,39,14,7,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24560,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,Nonpartisan,None,1
YouGov/Economist,5/20/16,5/23/16,2016-05-25T20:43:06Z,1622,Registered Voters,Internet,42,41,7,10,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24557,https://today.yougov.com/news/2016/05/25/clinton-expands-her-primary-lead-sanders-supporter/,Nonpartisan,None,1
Morning Consult,5/19/16,5/23/16,2016-05-24T15:12:23Z,2001,Registered Voters,Internet,42,40,,18,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24544,https://morningconsultintelligence.com/media/mc/160507_topline_trend_v2_AP.pdf,Nonpartisan,None,1
